"AlbumId","TrackName","DurationMs","DurationMin","Popularity"
"7zCODUHkfuRxsUjtuzNqbd","High For This","249102","4,15","69"
"7zCODUHkfuRxsUjtuzNqbd","What You Need","206421","3,44","75"
"7zCODUHkfuRxsUjtuzNqbd","House Of Balloons / Glass Table Girls","407315","6,79","80"
"7zCODUHkfuRxsUjtuzNqbd","The Morning","314109","5,24","77"
"7zCODUHkfuRxsUjtuzNqbd","Wicked Games","325305","5,42","73"
"7zCODUHkfuRxsUjtuzNqbd","The Party & The After Party","459659","7,66","80"
"7zCODUHkfuRxsUjtuzNqbd","Coming Down","295435","4,92","81"
"7zCODUHkfuRxsUjtuzNqbd","Loft Music","363057","6,05","62"
"7zCODUHkfuRxsUjtuzNqbd","The Knowing","342828","5,71","60"
"2XGEyGU76kj55OdHWynX0S","High For This","249102","4,15","54"
"2XGEyGU76kj55OdHWynX0S","What You Need","206421","3,44","54"
"2XGEyGU76kj55OdHWynX0S","House Of Balloons / Glass Table Girls","407315","6,79","57"
"2XGEyGU76kj55OdHWynX0S","The Morning","314109","5,24","63"
"2XGEyGU76kj55OdHWynX0S","Wicked Games","325305","5,42","57"
"2XGEyGU76kj55OdHWynX0S","The Party & The After Party","459659","7,66","58"
"2XGEyGU76kj55OdHWynX0S","Coming Down","295435","4,92","58"
"2XGEyGU76kj55OdHWynX0S","Loft Music","363057","6,05","52"
"2XGEyGU76kj55OdHWynX0S","The Knowing","342828","5,71","51"
"2XGEyGU76kj55OdHWynX0S","Twenty Eight","258293","4,3","62"
"2XGEyGU76kj55OdHWynX0S","Lonely Star","349032","5,82","52"
"2XGEyGU76kj55OdHWynX0S","Life Of The Party","296286","4,94","53"
"2XGEyGU76kj55OdHWynX0S","Thursday","320004","5,33","50"
"2XGEyGU76kj55OdHWynX0S","The Zone","418056","6,97","55"
"2XGEyGU76kj55OdHWynX0S","The Birds Pt. 1","214515","3,58","54"
"2XGEyGU76kj55OdHWynX0S","The Birds Pt. 2","350583","5,84","59"
"2XGEyGU76kj55OdHWynX0S","Gone","486425","8,11","51"
"2XGEyGU76kj55OdHWynX0S","Rolling Stone","230783","3,85","50"
"2XGEyGU76kj55OdHWynX0S","Heaven Or Las Vegas","353732","5,9","47"
"2XGEyGU76kj55OdHWynX0S","Valerie","286599","4,78","58"
"2ODvWsOgouMbaA5xf0RkJe","Starboy","230453","3,84","91"
"2ODvWsOgouMbaA5xf0RkJe","Party Monster","249213","4,15","80"
"2ODvWsOgouMbaA5xf0RkJe","False Alarm","220306","3,67","66"
"2ODvWsOgouMbaA5xf0RkJe","Reminder","218880","3,65","84"
"2ODvWsOgouMbaA5xf0RkJe","Rockin’","232880","3,88","65"
"2ODvWsOgouMbaA5xf0RkJe","Secrets","265600","4,43","67"
"2ODvWsOgouMbaA5xf0RkJe","True Colors","206013","3,43","63"
"2ODvWsOgouMbaA5xf0RkJe","Stargirl Interlude","111640","1,86","76"
"2ODvWsOgouMbaA5xf0RkJe","Sidewalks","231360","3,86","75"
"2ODvWsOgouMbaA5xf0RkJe","Six Feet Under","237573","3,96","68"
"2ODvWsOgouMbaA5xf0RkJe","Love To Lay","223293","3,72","61"
"2ODvWsOgouMbaA5xf0RkJe","A Lonely Night","220173","3,67","65"
"2ODvWsOgouMbaA5xf0RkJe","Attention","197653","3,29","63"
"2ODvWsOgouMbaA5xf0RkJe","Ordinary Life","221920","3,7","63"
"2ODvWsOgouMbaA5xf0RkJe","Nothing Without You","198653","3,31","60"
"2ODvWsOgouMbaA5xf0RkJe","All I Know","321026","5,35","63"
"2ODvWsOgouMbaA5xf0RkJe","Die For You","260252","4,34","82"
"2ODvWsOgouMbaA5xf0RkJe","I Feel It Coming","269186","4,49","79"
"4yP0hdKOZPNshxUOjY0cZj","Alone Again","250053","4,17","67"
"4yP0hdKOZPNshxUOjY0cZj","Too Late","239973","4","67"
"4yP0hdKOZPNshxUOjY0cZj","Hardest To Love","211400","3,52","67"
"4yP0hdKOZPNshxUOjY0cZj","Scared To Live","191306","3,19","65"
"4yP0hdKOZPNshxUOjY0cZj","Snowchild","247186","4,12","65"
"4yP0hdKOZPNshxUOjY0cZj","Escape From LA","355960","5,93","68"
"4yP0hdKOZPNshxUOjY0cZj","Heartless","198266","3,3","80"
"4yP0hdKOZPNshxUOjY0cZj","Faith","283226","4,72","69"
"4yP0hdKOZPNshxUOjY0cZj","Blinding Lights","200040","3,33","91"
"4yP0hdKOZPNshxUOjY0cZj","In Your Eyes","237520","3,96","78"
"4yP0hdKOZPNshxUOjY0cZj","Save Your Tears","215626","3,59","88"
"4yP0hdKOZPNshxUOjY0cZj","Repeat After Me (Interlude)","195813","3,26","64"
"4yP0hdKOZPNshxUOjY0cZj","After Hours","361026","6,02","83"
"4yP0hdKOZPNshxUOjY0cZj","Until I Bleed Out","190173","3,17","63"
"3OxfaVgvTxUTy7276t7SPU","Wake Me Up (feat. Justice)","308575","5,14","76"
"3OxfaVgvTxUTy7276t7SPU","Cry For Me","224136","3,74","88"
"3OxfaVgvTxUTy7276t7SPU","I Can't Fucking Sing","12288","0,2","23"
"3OxfaVgvTxUTy7276t7SPU","São Paulo (feat. Anitta)","301623","5,03","88"
"3OxfaVgvTxUTy7276t7SPU","Until We're Skin & Bones","22033","0,37","27"
"3OxfaVgvTxUTy7276t7SPU","Baptized In Fear","232176","3,87","78"
"3OxfaVgvTxUTy7276t7SPU","Open Hearts","234923","3,92","79"
"3OxfaVgvTxUTy7276t7SPU","Opening Night","96024","1,6","73"
"3OxfaVgvTxUTy7276t7SPU","Reflections Laughing (feat. Travis Scott, Florence + The Machine)","291192","4,85","77"
"3OxfaVgvTxUTy7276t7SPU","Enjoy The Show (feat. Future)","301428","5,02","75"
"3OxfaVgvTxUTy7276t7SPU","Given Up On Me","354781","5,91","74"
"3OxfaVgvTxUTy7276t7SPU","I Can't Wait To Get There","188921","3,15","74"
"3OxfaVgvTxUTy7276t7SPU","Timeless (feat Playboi Carti)","256000","4,27","95"
"3OxfaVgvTxUTy7276t7SPU","Niagara Falls","277274","4,62","77"
"3OxfaVgvTxUTy7276t7SPU","Take Me Back To LA","253734","4,23","75"
"3OxfaVgvTxUTy7276t7SPU","Big Sleep (feat. Giorgio Moroder)","225312","3,76","70"
"3OxfaVgvTxUTy7276t7SPU","Give Me Mercy","216431","3,61","71"
"3OxfaVgvTxUTy7276t7SPU","Drive","188645","3,14","72"
"3OxfaVgvTxUTy7276t7SPU","The Abyss (feat. Lana Del Rey)","282873","4,71","79"
"3OxfaVgvTxUTy7276t7SPU","Red Terror","231860","3,86","70"
"0MV1yCXcNNQBfwApqAVkH0","Ghostface Killers (feat. Travis Scott)","268933","4,48","70"
"0MV1yCXcNNQBfwApqAVkH0","Rap Saved Me (feat. Quavo)","257600","4,29","67"
