1,High For This,"4,15",69,1
2,What You Need,"3,44",75,1
3,House Of Balloons / Glass Table Girls,"6,79",80,1
4,The Morning,"5,24",77,1
5,Wicked Games,"5,42",73,1
6,The Party & The After Party,"7,66",80,1
7,Coming Down,"4,92",81,1
8,Loft Music,"6,05",62,1
9,The Knowing,"5,71",60,1
10,High For This,"4,15",54,2
11,What You Need,"3,44",54,2
12,House Of Balloons / Glass Table Girls,"6,79",57,2
13,The Morning,"5,24",63,2
14,Wicked Games,"5,42",57,2
15,The Party & The After Party,"7,66",58,2
16,Coming Down,"4,92",58,2
17,Loft Music,"6,05",52,2
18,The Knowing,"5,71",51,2
19,Twenty Eight,"4,3",62,2
20,Lonely Star,"5,82",52,2
21,Life Of The Party,"4,94",53,2
22,Thursday,"5,33",50,2
23,The Zone,"6,97",55,2
24,The Birds Pt. 1,"3,58",54,2
25,The Birds Pt. 2,"5,84",59,2
26,Gone,"8,11",51,2
27,Rolling Stone,"3,85",50,2
28,Heaven Or Las Vegas,"5,9",47,2
29,Valerie,"4,78",58,2
30,Starboy,"3,84",91,3
31,Party Monster,"4,15",80,3
32,False Alarm,"3,67",66,3
33,Reminder,"3,65",84,3
34,Rockin’,"3,88",65,3
35,Secrets,"4,43",67,3
36,True Colors,"3,43",63,3
37,Stargirl Interlude,"1,86",76,3
38,Sidewalks,"3,86",75,3
39,Six Feet Under,"3,96",68,3
40,Love To Lay,"3,72",61,3
41,A Lonely Night,"3,67",65,3
42,Attention,"3,29",63,3
43,Ordinary Life,"3,7",63,3
44,Nothing Without You,"3,31",60,3
45,All I Know,"5,35",63,3
46,Die For You,"4,34",82,3
47,I Feel It Coming,"4,49",79,3
48,Alone Again,"4,17",67,4
49,Too Late,4,67,4
50,Hardest To Love,"3,52",67,4
51,Scared To Live,"3,19",65,4
52,Snowchild,"4,12",65,4
53,Escape From LA,"5,93",68,4
54,Heartless,"3,3",80,4
55,Faith,"4,72",69,4
56,Blinding Lights,"3,33",91,4
57,In Your Eyes,"3,96",78,4
58,Save Your Tears,"3,59",88,4
59,Repeat After Me (Interlude),"3,26",64,4
60,After Hours,"6,02",83,4
61,Until I Bleed Out,"3,17",63,4
62,Wake Me Up (feat. Justice),"5,14",76,5
63,Cry For Me,"3,74",88,5
64,I Can't Fucking Sing,"0,2",23,5
65,São Paulo (feat. Anitta),"5,03",88,5
66,Until We're Skin & Bones,"0,37",27,5
67,Baptized In Fear,"3,87",78,5
68,Open Hearts,"3,92",79,5
69,Opening Night,"1,6",73,5
70,"Reflections Laughing (feat. Travis Scott, Florence + The Machine)","4,85",77,5
71,Enjoy The Show (feat. Future),"5,02",75,5
72,Given Up On Me,"5,91",74,5
73,I Can't Wait To Get There,"3,15",74,5
74,Timeless (feat Playboi Carti),"4,27",95,5
75,Niagara Falls,"4,62",77,5
76,Take Me Back To LA,"4,23",75,5
77,Big Sleep (feat. Giorgio Moroder),"3,76",70,5
78,Give Me Mercy,"3,61",71,5
79,Drive,"3,14",72,5
80,The Abyss (feat. Lana Del Rey),"4,71",79,5
81,Red Terror,"3,86",70,5
82,Ghostface Killers (feat. Travis Scott),"4,48",70,6
83,Rap Saved Me (feat. Quavo),"4,29",67,6
84,Ric Flair Drip (with Metro Boomin),"2,88",82,6
85,My Choppa Hate Niggas,"2,48",68,6
86,Nightmare,"2,47",57,6
87,Mad Stalkers,"3,38",63,6
88,Disrespectful,"2,67",58,6
89,Run Up the Racks,"3,16",54,6
90,Still Serving,"3,86",56,6
91,Darth Vader,"3,81",55,6
92,On Time (with John Legend),"2,82",65,7
93,Superhero (Heroes & Villains) [with Future & Chris Brown],"3,04",82,7
94,Too Many Nights (feat. Don Toliver & with Future),"3,33",85,7
95,Raindrops (Insane) [with Travis Scott],"3,14",74,7
96,Umbrella (with 21 Savage & Young Nudy),"3,7",69,7
97,Trance (with Travis Scott & Young Thug),"3,25",84,7
98,Around Me (feat. Don Toliver),"3,19",80,7
99,Metro Spider (with Young Thug),"2,91",68,7
100,I Can't Save You (Interlude) [with Future & feat. Don Toliver],"1,51",73,7
101,Creepin' (with The Weeknd & 21 Savage),"3,69",84,7
102,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"3,46",76,7
103,Walk Em Down (Don't Kill Civilians) [with 21 Savage & feat. Mustafa],"5,18",66,7
104,Lock On Me (with Travis Scott & Future),"2,91",65,7
105,Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff),"3,16",69,7
106,All The Money (with Gunna) [Bonus],"2,79",64,7
107,We Don't Trust You,"3,77",72,8
108,Young Metro,"3,42",74,8
109,Ice Attack,"3,32",67,8
110,Type Shit,"3,8",86,8
111,Claustrophobic,"3,7",61,8
112,Like That,"4,46",87,8
113,Slimed In,"3,25",62,8
114,Magic Don Juan (Princess Diana),"3,68",63,8
115,Cinderella,"2,83",77,8
116,Runnin Outta Time,"3,42",63,8
117,Fried (She a Vibe),"3,5",71,8
118,Ain't No Love,"3,05",60,8
119,Everyday Hustle,"3,78",72,8
120,GTA,"3,88",67,8
121,Seen it All,"2,99",58,8
122,WTFYM,"4,88",61,8
123,Where My Twin @ - Bonus,"2,05",58,8
124,Intro,"3,55",50,9
125,Bad Luck,"3,86",56,9
126,My Bad,"2,73",55,9
127,Better,"3,82",57,9
128,Talk (feat. Disclosure),"3,29",73,9
129,Right Back,"3,59",57,9
130,Don't Pretend,"2,76",55,9
131,Paradise,"2,89",51,9
132,Hundred,"4,62",55,9
133,Outta My Head (with John Mayer),"2,95",64,9
134,Free Spirit,"3,03",57,9
135,Twenty One,"3,07",52,9
136,Bluffin',"3,32",49,9
137,Self,"3,83",49,9
138,Alive,"2,96",50,9
139,Heaven,"3,55",48,9
140,Saturday Nights,"3,53",54,9
141,Adore U,"2,74",56,10
142,Everything We See,"3,4",51,10
143,Altitude,"2,64",50,10
144,It's All Good,"3,48",52,10
145,Broken,"3,75",47,10
146,Dose,"3,99",48,10
147,Please Don't Fall In Love With Me,"2,96",61,10
148,Breathe,"2,84",46,10
149,Ground,"3,03",47,10
150,Who's There To Pick Me Up,"3,5",44,10
151,Tainted,"3,05",46,10
152,Long Way Home,"2,29",46,10
