1,House of Balloons (Original),00:49:23,"30,99 €",1,1
2,Trilogy,02:39:00,"29,99 €",1,1
3,Starboy,01:08:00,"39,99 €",2,1
4,After Hours,00:56:17,"26,99 €",3,1
5,Hurry Up Tomorrow,01:24:00,"42,99 €",4,1
6,Without Warning,00:33:29,"34,99 €",5,2
7,HEROES & VILLAINS,00:48:04,"44,99 €",6,2
8,WE DON’T TRUST YOU,00:59:47,"32,99 €",5,2
9,Free Spirit,00:57:22,"30,99 €",2,3
10,Sincere,00:52:10,"31,99 €",7,3
11,Dangerous Woman,01:03:00,"21,99 €",2,4
12,"thank u, next",00:41:10,"30,99 €",2,4
13,Positions,00:41:14,"42,99 €",4,4
14,eternal sunshine,00:35:32,"22,99 €",2,4
15,"good kid, m.A.A.d city",01:18:00,"29,99 €",8,5
16,GNX,00:44:20,"39,99 €",9,5
17,GARÇON,00:21:05,"31,99 €",10,6
18,EXIT,00:24:31,"42,99 €",10,6
19,Poison ou Antidote,01:55:00,"35,99 €",4,7
20,HÉRITAGE,01:12:00,"31,99 €",4,7
21,J.O.$,00:54:27,"28,99 €",11,8
22,M.A.N (Black Roses & Lost Feelings),00:55:29,"42,99 €",12,8
23,J.000.$,00:36:06,"30,99 €",12,8
24,NOSTALGIA+,00:39:20,"35,99 €",5,9
25,SAUSADE,00:40:55,"20,99 €",5,9
26,VI République (Version finale),01:05:00,"30,99 €",12,10
27,Melvin de Paris,01:08:00,"28,99 €",12,10
28,Les jolies filles aiment Jok’air,00:44:49,"23,99 €",12,10
29,Platinum,00:54:49,"37,99 €",5,11
30,Mental,00:59:30,"29,99 €",5,11
